infores_name,domain_coverage_score,domain_coverage_comments,source_scope_score,source_scope_score_comment,utility_drugrepurposing_score,utility_drugrepurposing_comment,noise_penalty_adjustment,noise_penalty_adjustment_comment,core_edge_family_flag,label_rubric_revised,reviewer
Semantic Medline Database,2.0,"Entities: drug,target,disease via UMLS CUIs; Relations: TREATS, INHIBITS, ASSOCIATED_WITH (~30 predicate types). Rich coverage but many edges generic/ambiguous.",3.0,"Broad, cross-disease; >21M PubMed citations; 57.6M predications; thousands of drugs, diseases, genes; multi-relation subtypes",1.0,"Direct edges: TREATS, INHIBITS, CAUSES, etc. present but NLP-extracted, noisy; predicates often generic; PubMed links but no confidence scores; precision ~70-80% → heavy filtering required",-2.0,"Predications are NLP-extracted, dominated by generic predicates like “ASSOCIATED_WITH.” Precision reported 70-80% depending on domain; recall lower. High noise without filtering. Needs strong confidence/frequency guardrails.",False,Low,https://orcid.org/0000-0003-4097-3395
Search Tool for the Retrieval of Interacting Genes/Proteins,2.0,Primarily single-entity (targets) but exceptionally rich in intra-entity associations and descriptors - borderline between 1 and 2. - Scoring a 2 to reward the rich intra-entity relations,3.0,"Global-scale, multi-species PPI/functional knowledgebase with millions of high-confidence edges from heterogeneous evidence.",3.0,Directly usable as a backbone for repurposing pipelines; confidence-scored PPI edges integrate seamlessly once drug and disease mappings are added.,0.0,"STRING curated edges and scored predictions are confidence-weighted (experiment, database, co-expression, text mining). Noise is mitigated by star/confidence scores; making it not penalty-worthy.",False,High,https://orcid.org/0000-0003-4097-3395
PathWhiz,2.0,"Entities: drugs (40,947 small molecules), proteins/enzymes (9,625 from UniProt), metabolites, diseases; Relations: metabolic reactions, drug-protein interactions, protein-protein interactions (signaling), transport; Xrefs: extensive (HMDB, DrugBank IDs, UniProt IDs present). However, limited T-D edges; pathways focus on drug action/metabolism and disease mechanisms but don't provide systematic D-D or T-D associations.",3.0,"Broad, cross-disease (metabolic, signaling, disease pathways); Multi-species (Human, Mouse, etc.); ~4,000 drugs, ~20,000 proteins, >100,000 pathways (including computational expansions in PathBank)",3.0,"Direct mechanistic edges: Drug-Target (inhibits/activates/modulates) explicitly modeled in ""Drug Action Pathways""; Pathway-Disease associations are strong. Plug-and-play for mechanistic inference",0.0,Noise 0: Predominantly manually curated (gold-standard Wishart lab curation). High precision,False,High,https://orcid.org/0000-0003-4097-3395
DrugBank,3.0,"Entities seen: drug, target, disease; Relations: D-T, T-D, D-D/indication, AE; xrefs common to UniProt, PubChem, MeSH, ChEMBL; descriptors rich with synonyms and identifiers supporting multi-hop traversal",3.0,"Broad cross-disease and multi-species coverage; thousands of drugs and targets; millions of edges spanning small molecules, biologics, and metabolites; multiple relation subtypes including D-T, D-D, indication, interaction",3.0,"Direct edges: D-T, T-D, D-D/AE clearly defined; direction and effect explicit (inhibitor, agonist, substrate); evidence and confidence standard; RxNorm, HGNC, UniProt mappings clean",0.0,Curated manual database with high precision ≥85%; mechanistic and pharmacologic assertions verified; minimal generic or text-mined noise,True,High,https://orcid.org/0000-0003-4097-3395
Ubergraph,3.0,"Entities: Comprehensive coverage of all OBO domains: Chemical (CHEBI), Disease (MONDO), Phenotype (HP), Anatomy (UBERON), Gene/Protein (PRO/GO), Function (GO). Relations: Rich logical definitions (is_a, part_of, regulates, has_phenotype) pre-computed via OWL reasoning",3.0,"Broad & Massive: It is the backbone of the biomedical semantic web, integrating ~40+ ontologies. Millions of classes and edges. Covers all species (GO/Uberon) and all disease areas (MONDO)",1.0,"Indirect / Scaffold: While it provides the essential vocabulary and hierarchy (A is a B; X is part of Y), it lacks direct, experimental ""Drug-Treats-Disease"" or ""Drug-Binds-Target"" edges derived from clinical trials or assays. It is used to ground data and calculate semantic similarity (e.g., via phenotypes), not to lookup treatments directly",0.0,Noise 0: Composed of manually curated OBO ontologies. High precision and logical consistency,True,Medium,https://orcid.org/0000-0003-4097-3395
Ensembl gene,1.0,"Entity seen: genes only; no D-T/T-D/D-D or AE edges; relations limited to genomic features, transcripts, and identifiers; xrefs to HGNC, UniProt, and NCBI Gene present but no pharmacologic or disease relations",2.0,Broad cross-species genomic coverage including human and multiple model organisms; millions of gene entries and annotations; one main relation family (genomic hierarchy),1.0,"Indirect only; no mechanistic or therapeutic edges; data focused on gene structure, variants, and coordinates; not usable for D→D modeling without integration",0.0,Curated manual and computational database with high precision ≥85%; no text-mined or ambiguous associations,True,Medium,https://orcid.org/0000-0003-4097-3395
BindingDB,3.0,"Entities seen: drug, target, disease; Relations: D-T and T-D with quantitative binding affinities (Ki, IC50, EC50); xrefs common to UniProt, PubChem, and ChEMBL; descriptors rich supporting D→T→D traversal",3.0,Broad cross-species and cross-disease coverage; millions of experimentally measured binding interactions; thousands of proteins and small molecules; multiple interaction subtypes across modalities,3.0,Direct edges: D-T/T-D with explicit effect type and quantitative strength; direction clear; confidence high with curated experimental assays; mappings to UniProt and PubChem clean and complete,0.0,Curated manual-experimental dataset with high precision ≥85%; assay-level confidence; minimal or no generic associations,True,High,https://orcid.org/0000-0003-4097-3395
DISEASES,2.0,"Entities: target,gene + disease; Relation: T-D (~millions); mapped to DOID, STRING/HGNC/Ensembl; confidence scoring robust. No drugs or D-D/AEs.",3.0,"Broad, cross-disease; millions of T-D edges; >19k genes, >8k diseases; integrates curated, GWAS, text mining; updated weekly.",2.0,"Direct edges: T-D; millions of associations; 1-5 star confidence; AUC=0.916 for text mining. No direct drug links, no mechanism or AE context → requires integration with drug-target DBs.",-1.0,"Text-mined associations make up the majority of edges (~4.5M vs. 36k curated). ROC AUC is high (0.916 for text mining), but still substantial “gene associated with disease” edges that are correlative and noisy. Can be rescued with 4-5 star confidence. Still only moderate penalty as eventhough DISEASES has lots of text-mined noise, but also curated channels, GWAS, and explicit confidence bins. Because the noisy part can be rescued cleanly (4-5 stars), we treat it as -1 (moderate noise), not -2.",True,Medium,https://orcid.org/0000-0003-4097-3395
NCBI Taxonomy,1.0,"Entities: organisms only (bacteria, viruses, fungi, plants, animals, protozoans); Relations: hierarchical taxonomic classifications (is_a/subclass relationships through kingdom, phylum, class, order, family, genus, species); no genes, proteins, drugs, diseases, or phenotypes. No D-T, T-D, D-D, or biomedical relation families; purely taxonomic lineage data. IDs: TaxID standard identifiers with synonyms/common names present.",3.0,"Broad, comprehensive: >460,000 formal species names; >1.34M additional species-level nodes; total taxonomy tree with hierarchical structure spanning all domains of life (bacteria, archaea, eukaryota, viruses); multi-organism across all kingdoms; international standard (INSDC); manually curated; serves as classification backbone for GenBank/EMBL/DDBJ; extensive synonymy tracking; covers human, model organisms, pathogens, environmental species. Truly global taxonomic scope.",1.0,"Indirect: provides organism context only - no drug, target, or disease data. Useful for annotating which organism a gene/protein/target comes from (e.g., ""this protein is from Homo sapiens TaxID:9606"" or ""this pathogen is Plasmodium falciparum TaxID:5833""), enabling species-specific queries and filtering (e.g., ""find human targets,"" ""exclude bacterial proteins""). Critical for cross-species comparative analysis (identifying orthologous targets across species for model organism studies). However, contains zero D-T, T-D, or D-D edges. No pharmacological predicates. Cannot generate repurposing candidates without integration with pharmacological sources. Clean TaxID mapping facilitates joining with other databases (UniProt, Entrez Gene). Best used as organism disambiguation/normalization layer.",0.0,"Manually curated by NCBI taxonomy specialists; follows international nomenclature codes (ICZN, ICNafp, ICNP, ICVCN); precision ≥85% for taxonomic assignments; authoritative INSDC standard; extensive literature-based validation; clean hierarchical structure; no text-mining or predictions; curators resolve nomenclatural conflicts systematically.",True,Medium,https://orcid.org/0000-0003-4097-3395
Human Metabolome Database ,2.0,"Entities seen: metabolite, gene protein, disease; Relations: metabolite-gene protein and metabolite-disease associations present; xrefs to KEGG, ChEBI, UniProt, PubChem observed; drug entities limited and indirect",2.0,Multi disease human focused coverage; thousands of metabolites and conditions; moderate scale with biochemical emphasis; single modality centered on metabolites,1.0,"Indirect only for repurposing; lacks direct D-T, D-D indication, or AE edges; relations largely biochemical or associative without pharmacologic direction or clinical indication context",-1.0,Moderate noise due to many generic metabolite-disease associations without causal direction; precision varies across entries; filtering needed to retain mechanistically relevant links,True,Low,https://orcid.org/0000-0003-4097-3395
